bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	analyte_type_id	bcr_analyte_uuid	concentration	gel_image_file	normal_tumor_genotype_match	pcr_amplification_successful	spectrophotometer_method	well_number	ratio_28s_18s	rinvalue
TCGA-16-1048-01B	TCGA-16-1048-01B-01D	1.9	124.35000000000001 uL	DNA	D	3950ab08-2e59-4f72-9301-c713cc7c902b	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	NO	UV Spec	[]
TCGA-16-1048-01B	TCGA-16-1048-01B-01R	1.8	0 uL	RNA	R	494a88f0-776b-4fed-8fdf-32bf866da619	0.13 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.4	7.7
TCGA-16-1048-01B	TCGA-16-1048-01B-01T	[Pending]	13 uL	Total RNA	T	11d2067c-8e24-4ab9-9974-c8ca54c5ab1d	0.1 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-16-1048-01B	TCGA-16-1048-01B-01W	[Pending]	58 uL	Repli-G (Qiagen) DNA	W	2aad46d2-672a-4e9e-88bd-3ad37d27baaf	0.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-16-1048-10A	TCGA-16-1048-10A-01D	1.9	0 uL	DNA	D	10e0198a-26da-4160-9fa2-4016796d3567	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-16-1048-10A	TCGA-16-1048-10A-01W	[Pending]	66 uL	Repli-G (Qiagen) DNA	W	fc765ad5-31ee-4a30-91a4-2b4c844e0788	0.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-41-3393-01A	TCGA-41-3393-01A-01D	1.9	385.34999999999997 uL	DNA	D	cae63807-8ca0-49b3-a882-5db20e678539	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	NO	UV Spec	[]	null	null
TCGA-41-3393-01A	TCGA-41-3393-01A-01R	1.8	0 uL	RNA	R	19fb8418-7590-483a-a33a-281ad5f97bb5	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	0.0	7.2
TCGA-41-3393-01A	TCGA-41-3393-01A-01T	[Pending]	20 uL	Total RNA	T	9da44008-bd81-4eea-b8ea-a1e6ae81b48c	0.1 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-41-3393-01A	TCGA-41-3393-01A-01W	[Pending]	33 uL	Repli-G (Qiagen) DNA	W	ad028d46-42be-4abe-9bc5-a8f789e97a42	0.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-41-3393-10A	TCGA-41-3393-10A-01D	1.9	0 uL	DNA	D	be821dda-05f6-4a6f-ba7d-80019c1af671	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	NO	UV Spec	[]	null	null
TCGA-41-3393-10A	TCGA-41-3393-10A-01W	[Pending]	72 uL	Repli-G (Qiagen) DNA	W	435f21e6-385a-41ab-a275-366a1a30b6da	0.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0353-01A	TCGA-08-0353-01A-01D	1.89	171 uL	DNA	D	0fe35af1-1a08-402c-9392-459a7f194108	0.170 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0353-01A	TCGA-08-0353-01A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	bda110da-2f7d-4dac-92b1-c6a99d36d866	.19 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0353-01A	TCGA-08-0353-01A-01R	1.80	103 uL	RNA	R	2745e35d-6c7f-43d4-9622-6c7c7f8838cd	0.160 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	2.1	8.4
TCGA-08-0353-01A	TCGA-08-0353-01A-01T	[Pending]	29 uL	Total RNA	T	25ba6ed2-fa58-4f6c-9b01-85ddbf076012	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0353-01A	TCGA-08-0353-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	b51a3d02-5758-433c-9888-60cba8f7482a	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0353-11A	TCGA-08-0353-11A-01D	1.80	5 uL	DNA	D	3a13c089-633b-4307-a4ae-fba86ed03b4a	0.110 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0353-11A	TCGA-08-0353-11A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	6669bf91-46ba-45db-9f7e-862dd5707f46	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0353-11A	TCGA-08-0353-11A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	e35777a9-0b5e-4f31-8474-2306fb350dd6	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0355-01A	TCGA-08-0355-01A-01D	1.89	4 uL	DNA	D	f16f55ee-97e5-424c-916b-dcbce2812aa2	0.130 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0355-01A	TCGA-08-0355-01A-01G	1.9	2 uL	GenomePlex (Rubicon) Amplified DNA	G	fad8f18a-97f7-46e7-8951-5a89d0713284	.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0355-01A	TCGA-08-0355-01A-01R	1.80	43 uL	RNA	R	001743ed-524b-41ec-8652-f0b56949246c	0.110 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	2.3	7.6
TCGA-08-0355-01A	TCGA-08-0355-01A-01T	[Pending]	8 uL	Total RNA	T	0e935bd0-3abb-48c6-ad9a-055c74d62288	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0355-01A	TCGA-08-0355-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	e887aaa4-dc52-4d43-a4f9-8ebbf87d2b20	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0355-11A	TCGA-08-0355-11A-01D	1.90	4 uL	DNA	D	9373582e-7825-412f-914f-c35f3027ebb3	0.160 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0355-11A	TCGA-08-0355-11A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	4a7395a9-b4b3-438f-afc7-25c634ba5c75	0.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0355-11A	TCGA-08-0355-11A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	ecc449c1-9648-489e-b530-77e7a594fb1f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0392-01A	TCGA-08-0392-01A-01D	1.89	245 uL	DNA	D	d56e91df-064d-4d08-9427-acda25853195	0.180 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0392-01A	TCGA-08-0392-01A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	4c52b0ba-c70b-408c-82d8-82f7d30605f3	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0392-01A	TCGA-08-0392-01A-01R	1.80	112 uL	RNA	R	283ff8b5-6d9c-4739-ad91-510b238b7183	0.180 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.5	7.9
TCGA-08-0392-01A	TCGA-08-0392-01A-01T	[Pending]	3 uL	Total RNA	T	8c57dc7a-55ff-402d-82be-bc3b9a32806d	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0392-01A	TCGA-08-0392-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	87db2693-afda-4f20-b501-dc2d35ce96ea	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0392-11A	TCGA-08-0392-11A-01D	1.90	5 uL	DNA	D	7d66d619-e317-4d50-ae5e-cfc3edf7dc87	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-08-0392-11A	TCGA-08-0392-11A-01G	1.9	40 uL	GenomePlex (Rubicon) Amplified DNA	G	97d4a352-e880-4069-bc9c-bf044482c894	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-08-0392-11A	TCGA-08-0392-11A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	f4aa7522-609a-4579-8b97-a4966419a5bc	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-02-0023-01B	TCGA-02-0023-01B-01D	1.89	3 uL	DNA	D	064e039d-25c3-4607-a019-325085f5f570	0.460 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
