barcode	gene symbol	value
TCGA-02-0269-01B-01R-0280-01	A2BP1	4.98924125068015
TCGA-02-0269-01B-01R-0280-01	A2M	10.0808362280199
TCGA-02-0269-01B-01R-0280-01	A4GALT	5.01202772054596
TCGA-02-0269-01B-01R-0280-01	A4GNT	4.51622302176878
TCGA-02-0269-01B-01R-0280-01	AAAS	5.69809715990068
TCGA-02-0269-01B-01R-0280-01	AACS	6.50935653084778
TCGA-02-0269-01B-01R-0280-01	AADAC	4.34807448053384
TCGA-02-0269-01B-01R-0280-01	AAK1	4.86607535226475
TCGA-02-0269-01B-01R-0280-01	AAMP	7.69556889394157
TCGA-02-0269-01B-01R-0280-01	AANAT	3.41267915246505
TCGA-02-0269-01B-01R-0280-01	AARS	8.89131962446201
TCGA-02-0269-01B-01R-0280-01	AARSD1	6.8777454479773
TCGA-02-0269-01B-01R-0280-01	AASDHPPT	9.31679816737722
TCGA-02-0269-01B-01R-0280-01	AASS	6.25062558726009
TCGA-02-0269-01B-01R-0280-01	AATF	8.47316245500785
TCGA-02-0269-01B-01R-0280-01	AATK	4.88190390598309
TCGA-02-0269-01B-01R-0280-01	ABAT	9.09976065517695
TCGA-02-0269-01B-01R-0280-01	ABBA-1	5.56523168502124
TCGA-02-0269-01B-01R-0280-01	ABCA1	7.69037572745014
TCGA-02-0269-01B-01R-0280-01	ABCA12	3.56857801187822
TCGA-02-0269-01B-01R-0280-01	ABCA2	4.84736650975876
TCGA-02-0269-01B-01R-0280-01	ABCA3	7.81806340740116
TCGA-02-0269-01B-01R-0280-01	ABCA4	4.29038227467252
TCGA-02-0269-01B-01R-0280-01	ABCA5	6.22918568689356
TCGA-02-0269-01B-01R-0280-01	ABCA6	4.08149123991038
TCGA-02-0269-01B-01R-0280-01	ABCA7	4.76692030144328
TCGA-02-0269-01B-01R-0280-01	ABCA8	8.44384299697728
TCGA-02-0269-01B-01R-0280-01	ABCB1	6.39660647957333
TCGA-02-0269-01B-01R-0280-01	ABCB11	3.60513686497232
TCGA-02-0269-01B-01R-0280-01	ABCB4	4.52003256639753
TCGA-02-0269-01B-01R-0280-01	ABCB6	5.33641543725212
TCGA-02-0269-01B-01R-0280-01	ABCB7	7.31089522373288
TCGA-02-0269-01B-01R-0280-01	ABCB8	5.01416864056272
TCGA-02-0269-01B-01R-0280-01	ABCB9	4.71044134756014
TCGA-02-0269-01B-01R-0280-01	ABCC1	5.52488241761924
TCGA-02-0269-01B-01R-0280-01	ABCC10	7.01710879972072
TCGA-02-0269-01B-01R-0280-01	ABCC2	4.0557099029327
TCGA-02-0269-01B-01R-0280-01	ABCC3	4.60461532441496
TCGA-02-0269-01B-01R-0280-01	ABCC4	5.75349200994726
TCGA-02-0269-01B-01R-0280-01	ABCC5	6.92897199787388
TCGA-02-0269-01B-01R-0280-01	ABCC6	4.43737682111544
TCGA-02-0269-01B-01R-0280-01	ABCC8	4.08086842468225
TCGA-02-0269-01B-01R-0280-01	ABCC9	4.02368329842913
TCGA-02-0269-01B-01R-0280-01	ABCD1	4.56351516759913
TCGA-02-0269-01B-01R-0280-01	ABCD2	4.05844464814947
TCGA-02-0269-01B-01R-0280-01	ABCD3	10.1248691130714
TCGA-02-0269-01B-01R-0280-01	ABCD4	6.07065703909032
TCGA-02-0269-01B-01R-0280-01	ABCE1	7.77855573701177
TCGA-02-0269-01B-01R-0280-01	ABCF1	8.72042161033118
TCGA-02-0269-01B-01R-0280-01	ABCF2	6.09970688931796
TCGA-02-0269-01B-01R-0280-01	ABCF3	6.45407609460407
TCGA-02-0269-01B-01R-0280-01	ABCG1	5.30555204824587
TCGA-02-0269-01B-01R-0280-01	ABCG2	8.82166159785813
TCGA-02-0269-01B-01R-0280-01	ABCG4	4.67835341324546
TCGA-02-0269-01B-01R-0280-01	ABCG5	4.16352576401700
TCGA-02-0269-01B-01R-0280-01	ABHD10	8.3773511468957
TCGA-02-0269-01B-01R-0280-01	ABHD11	6.70827330951971
TCGA-02-0269-01B-01R-0280-01	ABHD14A	7.6666487723384
