barcode	gene symbol	value
TCGA-12-1098-01C-01R-0522-01	A2BP1	4.70565274007729
TCGA-12-1098-01C-01R-0522-01	A2M	11.3948416874329
TCGA-12-1098-01C-01R-0522-01	A4GALT	4.69684795728301
TCGA-12-1098-01C-01R-0522-01	A4GNT	4.63448692662887
TCGA-12-1098-01C-01R-0522-01	AAAS	5.78419080772239
TCGA-12-1098-01C-01R-0522-01	AACS	6.94121322644894
TCGA-12-1098-01C-01R-0522-01	AADAC	3.93718880726729
TCGA-12-1098-01C-01R-0522-01	AAK1	4.63058619926275
TCGA-12-1098-01C-01R-0522-01	AAMP	7.3909563818288
TCGA-12-1098-01C-01R-0522-01	AANAT	3.62959297089419
TCGA-12-1098-01C-01R-0522-01	AARS	9.15617352095349
TCGA-12-1098-01C-01R-0522-01	AARSD1	5.26346363933459
TCGA-12-1098-01C-01R-0522-01	AASDHPPT	9.12923427132442
TCGA-12-1098-01C-01R-0522-01	AASS	5.68230347473541
TCGA-12-1098-01C-01R-0522-01	AATF	6.60112218525526
TCGA-12-1098-01C-01R-0522-01	AATK	5.03447625358876
TCGA-12-1098-01C-01R-0522-01	ABAT	9.9409711047496
TCGA-12-1098-01C-01R-0522-01	ABBA-1	5.41688487151576
TCGA-12-1098-01C-01R-0522-01	ABCA1	8.40236544749266
TCGA-12-1098-01C-01R-0522-01	ABCA12	4.01572572162849
TCGA-12-1098-01C-01R-0522-01	ABCA2	4.8463332193896
TCGA-12-1098-01C-01R-0522-01	ABCA3	7.61736758009306
TCGA-12-1098-01C-01R-0522-01	ABCA4	4.10315011565812
TCGA-12-1098-01C-01R-0522-01	ABCA5	5.05707850212169
TCGA-12-1098-01C-01R-0522-01	ABCA6	4.4809939027518
TCGA-12-1098-01C-01R-0522-01	ABCA7	4.9547725479897
TCGA-12-1098-01C-01R-0522-01	ABCA8	9.59541582397854
TCGA-12-1098-01C-01R-0522-01	ABCB1	4.33056994846573
TCGA-12-1098-01C-01R-0522-01	ABCB11	3.76657005431834
TCGA-12-1098-01C-01R-0522-01	ABCB4	4.29752294562516
TCGA-12-1098-01C-01R-0522-01	ABCB6	5.12718341947262
TCGA-12-1098-01C-01R-0522-01	ABCB7	7.41257966656476
TCGA-12-1098-01C-01R-0522-01	ABCB8	4.91681222442353
TCGA-12-1098-01C-01R-0522-01	ABCB9	5.5440762998457
TCGA-12-1098-01C-01R-0522-01	ABCC1	4.8260968917002
TCGA-12-1098-01C-01R-0522-01	ABCC10	5.87395836412158
TCGA-12-1098-01C-01R-0522-01	ABCC2	4.12947782573864
TCGA-12-1098-01C-01R-0522-01	ABCC3	6.9513408378945
TCGA-12-1098-01C-01R-0522-01	ABCC4	5.87404066115161
TCGA-12-1098-01C-01R-0522-01	ABCC5	5.74822991417432
TCGA-12-1098-01C-01R-0522-01	ABCC6	4.50210739771409
TCGA-12-1098-01C-01R-0522-01	ABCC8	4.30261480080633
TCGA-12-1098-01C-01R-0522-01	ABCC9	3.94901707100734
TCGA-12-1098-01C-01R-0522-01	ABCD1	4.82008944342914
TCGA-12-1098-01C-01R-0522-01	ABCD2	3.84643231577033
TCGA-12-1098-01C-01R-0522-01	ABCD3	9.51667449084822
TCGA-12-1098-01C-01R-0522-01	ABCD4	6.09487680820162
TCGA-12-1098-01C-01R-0522-01	ABCE1	7.20159479814655
