barcode	gene symbol	value
TCGA-27-2523-01A-01R-0789-01	A2BP1	5.40254357754946
TCGA-27-2523-01A-01R-0789-01	A2M	10.7983999115281
TCGA-27-2523-01A-01R-0789-01	A4GALT	4.58315107461434
TCGA-27-2523-01A-01R-0789-01	A4GNT	4.26026833861475
TCGA-27-2523-01A-01R-0789-01	AAAS	6.2077179935058
TCGA-27-2523-01A-01R-0789-01	AACS	7.50043259917542
TCGA-27-2523-01A-01R-0789-01	AADAC	4.33893818126909
TCGA-27-2523-01A-01R-0789-01	AAK1	4.50241106865481
TCGA-27-2523-01A-01R-0789-01	AAMP	8.08734953058365
TCGA-27-2523-01A-01R-0789-01	AANAT	3.49816237136896
TCGA-27-2523-01A-01R-0789-01	AARS	9.18072018360282
TCGA-27-2523-01A-01R-0789-01	AARSD1	7.07339141069073
TCGA-27-2523-01A-01R-0789-01	AASDHPPT	9.6253673940234
TCGA-27-2523-01A-01R-0789-01	AASS	5.67598006918215
TCGA-27-2523-01A-01R-0789-01	AATF	8.14811780024601
TCGA-27-2523-01A-01R-0789-01	AATK	5.1769547024245
TCGA-27-2523-01A-01R-0789-01	ABAT	9.45039284778657
TCGA-27-2523-01A-01R-0789-01	ABBA-1	5.22061331902824
TCGA-27-2523-01A-01R-0789-01	ABCA1	7.42015774200638
TCGA-27-2523-01A-01R-0789-01	ABCA12	3.80147816398283
TCGA-27-2523-01A-01R-0789-01	ABCA2	4.8100084819884
TCGA-27-2523-01A-01R-0789-01	ABCA3	8.01754874656506
TCGA-27-2523-01A-01R-0789-01	ABCA4	4.22957561914469
TCGA-27-2523-01A-01R-0789-01	ABCA5	4.51186989499515
TCGA-27-2523-01A-01R-0789-01	ABCA6	3.80444666523154
TCGA-27-2523-01A-01R-0789-01	ABCA7	4.55937207213486
TCGA-27-2523-01A-01R-0789-01	ABCA8	6.71300141251851
TCGA-27-2523-01A-01R-0789-01	ABCB1	4.71316948129604
TCGA-27-2523-01A-01R-0789-01	ABCB11	3.66301707726757
TCGA-27-2523-01A-01R-0789-01	ABCB4	4.10880055971842
TCGA-27-2523-01A-01R-0789-01	ABCB6	5.20190523922235
TCGA-27-2523-01A-01R-0789-01	ABCB7	7.41665116961454
TCGA-27-2523-01A-01R-0789-01	ABCB8	4.93002198307301
TCGA-27-2523-01A-01R-0789-01	ABCB9	5.29493283406859
TCGA-27-2523-01A-01R-0789-01	ABCC1	5.22583744150034
TCGA-27-2523-01A-01R-0789-01	ABCC10	6.69781801523857
TCGA-27-2523-01A-01R-0789-01	ABCC2	4.166626351372
TCGA-27-2523-01A-01R-0789-01	ABCC3	6.27563604279894
TCGA-27-2523-01A-01R-0789-01	ABCC4	6.41204012678594
TCGA-27-2523-01A-01R-0789-01	ABCC5	6.06031810267826
TCGA-27-2523-01A-01R-0789-01	ABCC6	4.58475713882049
TCGA-27-2523-01A-01R-0789-01	ABCC8	4.23557983809861
TCGA-27-2523-01A-01R-0789-01	ABCC9	4.09603097691608
TCGA-27-2523-01A-01R-0789-01	ABCD1	4.82282315899786
TCGA-27-2523-01A-01R-0789-01	ABCD2	4.34500437442314
TCGA-27-2523-01A-01R-0789-01	ABCD3	10.6902806582150
TCGA-27-2523-01A-01R-0789-01	ABCD4	6.03219357121392
TCGA-27-2523-01A-01R-0789-01	ABCE1	8.72690694560483
TCGA-27-2523-01A-01R-0789-01	ABCF1	8.7310488319056
TCGA-27-2523-01A-01R-0789-01	ABCF2	6.5047234752732
TCGA-27-2523-01A-01R-0789-01	ABCF3	6.48977374239532
TCGA-27-2523-01A-01R-0789-01	ABCG1	4.8969803366618
TCGA-27-2523-01A-01R-0789-01	ABCG2	7.94618497004481
TCGA-27-2523-01A-01R-0789-01	ABCG4	4.54042180170242
TCGA-27-2523-01A-01R-0789-01	ABCG5	4.06966970406836
TCGA-27-2523-01A-01R-0789-01	ABHD10	8.53915431366224
TCGA-27-2523-01A-01R-0789-01	ABHD11	7.68058691423791
TCGA-27-2523-01A-01R-0789-01	ABHD14A	8.164575838264
TCGA-27-2523-01A-01R-0789-01	ABHD2	8.04290324991766
TCGA-27-2523-01A-01R-0789-01	ABHD3	7.69964615719121
TCGA-27-2523-01A-01R-0789-01	ABHD4	7.86920862715646
TCGA-27-2523-01A-01R-0789-01	ABHD5	6.9701049249027
TCGA-27-2523-01A-01R-0789-01	ABHD6	7.14462806108023
TCGA-27-2523-01A-01R-0789-01	ABHD8	5.11522244893198
TCGA-27-2523-01A-01R-0789-01	ABHD9	4.07591960265669
TCGA-27-2523-01A-01R-0789-01	ABI1	7.838108547436
TCGA-27-2523-01A-01R-0789-01	ABI2	7.40164046940474
TCGA-27-2523-01A-01R-0789-01	ABL1	9.55640606830517
TCGA-27-2523-01A-01R-0789-01	ABL2	4.25570287693841
TCGA-27-2523-01A-01R-0789-01	ABLIM1	8.01073757905238
TCGA-27-2523-01A-01R-0789-01	ABLIM3	4.25420370004025
TCGA-27-2523-01A-01R-0789-01	ABO	3.88486435701322
TCGA-27-2523-01A-01R-0789-01	ABP1	3.64096596935382
TCGA-27-2523-01A-01R-0789-01	ABR	7.2710876762019
TCGA-27-2523-01A-01R-0789-01	ABT1	7.07974257836348
TCGA-27-2523-01A-01R-0789-01	ABTB2	5.2394865077204
TCGA-27-2523-01A-01R-0789-01	ACAA1	8.26175678310783
TCGA-27-2523-01A-01R-0789-01	ACAA2	7.09751747935822
TCGA-27-2523-01A-01R-0789-01	ACACA	8.48637964031421
TCGA-27-2523-01A-01R-0789-01	ACACB	4.54841284679616
TCGA-27-2523-01A-01R-0789-01	ACAD10	4.91299720884993
TCGA-27-2523-01A-01R-0789-01	ACAD8	8.10778058214246
TCGA-27-2523-01A-01R-0789-01	ACADL	3.98117311391146
TCGA-27-2523-01A-01R-0789-01	ACADM	9.45303069212733
TCGA-27-2523-01A-01R-0789-01	ACADS	5.56951412261602
TCGA-27-2523-01A-01R-0789-01	ACADSB	4.3020800873728
TCGA-27-2523-01A-01R-0789-01	ACADVL	8.25333565046024
TCGA-27-2523-01A-01R-0789-01	ACAN	4.24711045504571
TCGA-27-2523-01A-01R-0789-01	ACAT1	9.35945225990467
TCGA-27-2523-01A-01R-0789-01	ACAT2	8.02595329329515
TCGA-27-2523-01A-01R-0789-01	ACBD3	7.9204612618218
TCGA-27-2523-01A-01R-0789-01	ACBD4	5.2153876903759
TCGA-27-2523-01A-01R-0789-01	ACCN1	4.5276204166165
TCGA-27-2523-01A-01R-0789-01	ACCN2	7.78701167261138
TCGA-27-2523-01A-01R-0789-01	ACCN3	3.88863066771026
TCGA-27-2523-01A-01R-0789-01	ACCN4	6.77615448230008
TCGA-27-2523-01A-01R-0789-01	ACD	7.86842893708894
TCGA-27-2523-01A-01R-0789-01	ACE	4.5249145710062
TCGA-27-2523-01A-01R-0789-01	ACE2	3.77139113457682
TCGA-27-2523-01A-01R-0789-01	ACF	4.24393329533191
TCGA-27-2523-01A-01R-0789-01	ACHE	4.47730779358030
TCGA-27-2523-01A-01R-0789-01	ACIN1	6.70356260992683
TCGA-27-2523-01A-01R-0789-01	ACLY	9.17351168993026
TCGA-27-2523-01A-01R-0789-01	ACN9	7.84712140213783
