Extract Name	Comment [TCGA Barcode]	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]
0a6d7636-d7eb-47e6-8920-617d1a4df13a	TCGA-06-0650-01A-02R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-06-0650-01A-02R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A01_787034	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-06-0650-01A-02R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A01_787034.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	d3396fb481e942fa2baef19d21b4c600	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-06-0650-01A-02R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A01_787034.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	c4d4205069ee384db3fcf0e103680933	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-06-0650-01A-02R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A01_787034.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	04458ad963618414e456ef4ba25669fc
b8d4b7e1-20f3-4742-bf29-3d55bea8dc17	TCGA-76-6193-01A-11R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-76-6193-01A-11R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A02_787032	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-76-6193-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A02_787032.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	6b2d43f09defa663e51ebcd57cede47d	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-76-6193-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A02_787032.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	d597b8a612d1d8e2309128dbdfdeca82	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-76-6193-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A02_787032.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	c1f4c9c49388fa9a34aee74132065ad5
a2f14743-13f1-4480-859b-6e22435420a4	TCGA-76-6192-01A-11R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-76-6192-01A-11R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A03_787030	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-76-6192-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A03_787030.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	533f93b84076bcae8a06acb2bb7965cb	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-76-6192-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A03_787030.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	c5d922cf9d0dc090cdcbd9e667b81ff3	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-76-6192-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A03_787030.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	4ef6186089660ae80fa3d07cfdce715f
128a3673-6dfc-4a62-a14a-4a7635d8ded4	TCGA-14-0781-01B-01R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-14-0781-01B-01R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A04_787028	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-14-0781-01B-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A04_787028.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	6c84a6b54f10f7871091a6ff12162283	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-14-0781-01B-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A04_787028.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	f71b216b3eedead3f102a5d6c083b8cc	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-14-0781-01B-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A04_787028.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	f42f8477544db025ef13ecb67a77c822
0c57bfeb-3dc5-4b0b-b27a-7c031803f4ad	TCGA-19-5947-01A-11R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-19-5947-01A-11R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A05_787018	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-19-5947-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A05_787018.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	e81d6e6817d81a35ae1e69c4e8144840	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-19-5947-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A05_787018.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	7cc31cef1cc56e60d2d1dba0d58ebe7f	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-19-5947-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A05_787018.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	9c7b99a4da070194c5b6bbef2aeea56a
06e73696-510e-48fe-975b-93908e8ca545	TCGA-81-5910-01A-11R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-81-5910-01A-11R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A06_787016	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-81-5910-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A06_787016.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	737cc4ed2dbd7537636fec3dea5395ae	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-81-5910-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A06_787016.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	2fdea2c38dcdb0564465fb3dc808a0d4	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-81-5910-01A-11R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A06_787016.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	fee29cecd1277c327c62d6cd3673021d
04ffbe69-badc-4636-ba81-d0efa3c2196d	TCGA-06-5413-01A-01R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-06-5413-01A-01R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A07_787014	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-06-5413-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A07_787014.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	7b787a306af0a782b20810fac4200242	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-06-5413-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A07_787014.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	9953f22d2c889fea46b505dbb3fc479a	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-06-5413-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A07_787014.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	b779d1270fe135c5f61e6ef6103f2af0
c08b110a-b36e-4042-b599-fa9e088b4ae6	TCGA-26-1442-01A-01R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-26-1442-01A-01R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A08_787012	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-26-1442-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A08_787012.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	b1752f87971be31d167e7ec714a2b420	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-26-1442-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A08_787012.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	8e04cad022dc310aba56ac2cf6181f23	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-26-1442-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A08_787012.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	f4d5c13750e7662ecdfe3f91515be037
67faec27-840a-491c-bd18-4e3a43f36899	TCGA-06-5411-01A-01R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-06-5411-01A-01R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A09_787026	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-06-5411-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A09_787026.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	e8c3148dc40fc84a2cda0d9292e0e1b1	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-06-5411-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A09_787026.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	c99fc36809c957f2a0636559834f49fb	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-06-5411-01A-01R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A09_787026.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	5d37a94d731e01f59a5ac9c7ed603849
209db446-9fda-40bc-879b-5615409908bd	TCGA-15-1444-01A-02R-1698-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-15-1444-01A-02R-1698-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A10_787024	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-15-1444-01A-02R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A10_787024.CEL	broad.mit.edu_GBM.HT_HG-U133A.Level_1.111.1007.0	Expression-Gene	Level 1	yes	eb10fdbc22d0b288e24299dd215fb694	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-15-1444-01A-02R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A10_787024.level2.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_2.111.1007.0	Expression-Gene	Level 2	yes	e890d0bb8d781fdccce5e36e0884fd62	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-15-1444-01A-02R-1698-01	URGED_p_TCGA_Pop_May2011_HT_HG-U133A_96-HTA_A10_787024.level3.data.txt	broad.mit.edu_GBM.HT_HG-U133A.Level_3.111.1007.0	Expression-Gene	Level 3	yes	c274624491bb7520967203ea121b3269
