Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BI	HT_HG-U133A	n/a	selected_samples	N/A	broad.mit.edu_GBM.HT_HG-U133A.idf.txt
METADATA	BI	HT_HG-U133A	n/a	selected_samples	N/A	broad.mit.edu_GBM.HT_HG-U133A.idf.txt~
METADATA	BI	HT_HG-U133A	n/a	selected_samples	N/A	broad.mit.edu_GBM.HT_HG-U133A.sdrf.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0001-01	TCGA-02-0001-01C-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0001-01C-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0003-01	TCGA-02-0003-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0003-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0004-01	TCGA-02-0004-01A-01R-0298-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0004-01A-01R-0298-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0007-01	TCGA-02-0007-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0007-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0009-01	TCGA-02-0009-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0009-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0010-01	TCGA-02-0010-01A-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0010-01A-01R-0177-01__gene_expression_analysis.txt
Expression-Genes	BI	HT_HG-U133A	3	TCGA-02-0011-01	TCGA-02-0011-01B-01R-0177-01	broad.mit.edu__HT_HG-U133A__TCGA-02-0011-01B-01R-0177-01__gene_expression_analysis.txt
