barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-08-0380-01A-01G-0294-04	1	554268	2355752	240	0.0369
TCGA-08-0380-01A-01G-0294-04	1	2361181	2439625	13	-0.541
TCGA-08-0380-01A-01G-0294-04	1	2445797	10596842	788	-0.0588
TCGA-08-0380-01A-01G-0294-04	1	10605851	10637926	6	-0.4736
TCGA-08-0380-01A-01G-0294-04	1	10646675	16688825	538	-0.0114
TCGA-08-0380-01A-01G-0294-04	1	16698906	17130528	24	0.2448
TCGA-08-0380-01A-01G-0294-04	1	17148592	17812150	71	-0.0263
TCGA-08-0380-01A-01G-0294-04	1	17817996	17928045	13	0.2378
TCGA-08-0380-01A-01G-0294-04	1	17941972	21059514	316	-0.0614
TCGA-08-0380-01A-01G-0294-04	1	21076177	21331320	25	-0.3175
TCGA-08-0380-01A-01G-0294-04	1	21337284	24498173	310	-0.0263
TCGA-08-0380-01A-01G-0294-04	1	24514225	24650418	17	-0.1969
TCGA-08-0380-01A-01G-0294-04	1	24658509	28188819	412	0.0205
TCGA-08-0380-01A-01G-0294-04	1	28199079	28293454	12	-0.345
TCGA-08-0380-01A-01G-0294-04	1	28300813	35554440	627	-0.0244
TCGA-08-0380-01A-01G-0294-04	1	35563510	35636596	8	-0.532
TCGA-08-0380-01A-01G-0294-04	1	35644104	36183989	59	-2e-04
TCGA-08-0380-01A-01G-0294-04	1	36188592	36301726	11	-0.4111
TCGA-08-0380-01A-01G-0294-04	1	36309954	47005202	1101	-0.01
TCGA-08-0380-01A-01G-0294-04	1	47029347	47421885	35	0.2308
TCGA-08-0380-01A-01G-0294-04	1	47426128	48281569	60	-0.0465
TCGA-08-0380-01A-01G-0294-04	1	48314698	48597988	27	0.1774
TCGA-08-0380-01A-01G-0294-04	1	48612703	49012234	40	-0.1428
TCGA-08-0380-01A-01G-0294-04	1	49024279	50200692	103	0.2546
TCGA-08-0380-01A-01G-0294-04	1	50215710	50714213	38	0.0221
TCGA-08-0380-01A-01G-0294-04	1	50730025	51079418	38	-0.5169
TCGA-08-0380-01A-01G-0294-04	1	51090051	51181850	9	-0.0922
TCGA-08-0380-01A-01G-0294-04	1	51194548	51411991	14	-0.4623
TCGA-08-0380-01A-01G-0294-04	1	51441974	52649344	123	-0.0617
TCGA-08-0380-01A-01G-0294-04	1	52656356	52777277	17	-0.4136
TCGA-08-0380-01A-01G-0294-04	1	52790252	62658137	871	-0.005
TCGA-08-0380-01A-01G-0294-04	1	62671879	62774193	12	-0.455
TCGA-08-0380-01A-01G-0294-04	1	62780838	63067406	26	-0.1408
TCGA-08-0380-01A-01G-0294-04	1	63073032	63073032	1	NA
TCGA-08-0380-01A-01G-0294-04	1	63079669	63125693	5	-0.5122
TCGA-08-0380-01A-01G-0294-04	1	63148543	63746792	40	-0.0645
TCGA-08-0380-01A-01G-0294-04	1	63759464	63825658	8	-0.5468
TCGA-08-0380-01A-01G-0294-04	1	63835931	65677091	173	-0.0237
TCGA-08-0380-01A-01G-0294-04	1	65684263	65796571	12	0.3519
TCGA-08-0380-01A-01G-0294-04	1	65803498	66233973	37	0.0302
TCGA-08-0380-01A-01G-0294-04	1	66246205	66464017	26	0.3356
TCGA-08-0380-01A-01G-0294-04	1	66469774	67085829	62	0.04
TCGA-08-0380-01A-01G-0294-04	1	67100474	67242065	15	-0.3264
