barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-19-1390-10C-01D-0914-02	1	554268	25457903	4199	-0.1246
TCGA-19-1390-10C-01D-0914-02	1	25482036	25529549	4	-0.9819
TCGA-19-1390-10C-01D-0914-02	1	25538212	72533856	8882	-0.083
TCGA-19-1390-10C-01D-0914-02	1	72550248	72574479	3	2.5903
TCGA-19-1390-10C-01D-0914-02	1	72602597	167483267	10688	-0.0636
TCGA-19-1390-10C-01D-0914-02	1	167493768	167507898	7	-3.5802
TCGA-19-1390-10C-01D-0914-02	1	167523140	247186514	13277	-0.0663
TCGA-19-1390-10C-01D-0914-02	10	126361	135286023	20238	-0.081
TCGA-19-1390-10C-01D-0914-02	11	190215	5738494	871	-0.1042
TCGA-19-1390-10C-01D-0914-02	11	5742476	5755299	4	-0.8346
TCGA-19-1390-10C-01D-0914-02	11	5756408	134432265	19808	-0.0731
TCGA-19-1390-10C-01D-0914-02	12	59839	2115933	471	-0.0888
TCGA-19-1390-10C-01D-0914-02	12	2117164	2127537	6	-0.9203
TCGA-19-1390-10C-01D-0914-02	12	2128807	9523923	1335	-0.1062
TCGA-19-1390-10C-01D-0914-02	12	9528590	9554149	4	-4.2416
TCGA-19-1390-10C-01D-0914-02	12	9555181	9610054	7	-1.0994
TCGA-19-1390-10C-01D-0914-02	12	9626736	31140219	3386	-0.0397
TCGA-19-1390-10C-01D-0914-02	12	31169263	31233136	7	-0.6787
TCGA-19-1390-10C-01D-0914-02	12	31237493	132289090	15178	-0.0714
TCGA-19-1390-10C-01D-0914-02	13	18065953	114114513	11879	-0.054
TCGA-19-1390-10C-01D-0914-02	14	18149473	73060301	8222	-0.0579
TCGA-19-1390-10C-01D-0914-02	14	73071404	73092018	5	-1.0485
TCGA-19-1390-10C-01D-0914-02	14	73104572	106349756	4904	-0.0932
TCGA-19-1390-10C-01D-0914-02	15	18362555	18657388	6	-0.1091
TCGA-19-1390-10C-01D-0914-02	15	18741716	20079935	84	-0.489
TCGA-19-1390-10C-01D-0914-02	15	20249886	100282819	12572	-0.0853
TCGA-19-1390-10C-01D-0914-02	16	36766	67037293	7736	-0.1068
TCGA-19-1390-10C-01D-0914-02	16	67046916	67080871	3	-0.9654
TCGA-19-1390-10C-01D-0914-02	16	67107620	68710277	355	-0.1065
TCGA-19-1390-10C-01D-0914-02	16	68726557	68751390	6	-0.746
TCGA-19-1390-10C-01D-0914-02	16	68838368	75093957	1001	-0.1103
TCGA-19-1390-10C-01D-0914-02	16	75097331	75100865	3	1.5698
TCGA-19-1390-10C-01D-0914-02	16	75102639	76925748	276	-0.0879
TCGA-19-1390-10C-01D-0914-02	16	76929598	76935880	5	-1.5261
TCGA-19-1390-10C-01D-0914-02	16	76937156	88675835	2005	-0.1175
TCGA-19-1390-10C-01D-0914-02	17	29169	41515622	7558	-0.1134
TCGA-19-1390-10C-01D-0914-02	17	41521544	42049540	45	-0.8471
TCGA-19-1390-10C-01D-0914-02	17	42142363	78636731	6365	-0.1017
TCGA-19-1390-10C-01D-0914-02	18	4316	76110964	10174	-0.0629
TCGA-19-1390-10C-01D-0914-02	19	210395	20420327	3861	-0.1282
TCGA-19-1390-10C-01D-0914-02	19	20422576	20523656	15	-0.8352
TCGA-19-1390-10C-01D-0914-02	19	20530452	51311413	3484	-0.1298
TCGA-19-1390-10C-01D-0914-02	19	51316654	51319006	3	-1.0774
TCGA-19-1390-10C-01D-0914-02	19	51322506	63787171	2514	-0.135
TCGA-19-1390-10C-01D-0914-02	2	20341	89222963	12582	-0.071
TCGA-19-1390-10C-01D-0914-02	2	89256456	91511288	46	-0.6065
TCGA-19-1390-10C-01D-0914-02	2	94707984	178541546	11555	-0.0501
TCGA-19-1390-10C-01D-0914-02	2	178544895	178555242	3	-2.1786
TCGA-19-1390-10C-01D-0914-02	2	178558860	242717016	9798	-0.0574
TCGA-19-1390-10C-01D-0914-02	20	18580	1506379	262	-0.112
TCGA-19-1390-10C-01D-0914-02	20	1511632	1531162	9	-1.9578
TCGA-19-1390-10C-01D-0914-02	20	1544485	15000540	2121	-0.0695
TCGA-19-1390-10C-01D-0914-02	20	15001955	15069472	25	0.2173
TCGA-19-1390-10C-01D-0914-02	20	15073280	62379059	7229	-0.1121
TCGA-19-1390-10C-01D-0914-02	21	9896630	13741362	36	-0.1018
TCGA-19-1390-10C-01D-0914-02	21	13926078	14402228	19	-0.4666
TCGA-19-1390-10C-01D-0914-02	21	14404443	46914686	4855	-0.0783
TCGA-19-1390-10C-01D-0914-02	22	14866086	22642519	1203	-0.1358
TCGA-19-1390-10C-01D-0914-02	22	22677959	22720195	13	0.8282
TCGA-19-1390-10C-01D-0914-02	22	22736990	49565816	4943	-0.1199
TCGA-19-1390-10C-01D-0914-02	3	39066	192548135	28986	-0.0568
TCGA-19-1390-10C-01D-0914-02	3	192549325	192552734	3	-1.0478
TCGA-19-1390-10C-01D-0914-02	3	192554451	194353315	264	-0.0469
TCGA-19-1390-10C-01D-0914-02	3	194354505	194366950	3	-3.1724
TCGA-19-1390-10C-01D-0914-02	3	194387852	196822133	439	-0.0822
TCGA-19-1390-10C-01D-0914-02	3	196904349	196950095	12	-0.5638
TCGA-19-1390-10C-01D-0914-02	3	196958467	199379566	437	-0.1252
TCGA-19-1390-10C-01D-0914-02	4	41413	68905670	7779	-0.0584
TCGA-19-1390-10C-01D-0914-02	4	69057735	69165814	14	0.6346
TCGA-19-1390-10C-01D-0914-02	4	69643272	191133609	16552	-0.03
TCGA-19-1390-10C-01D-0914-02	5	75149	68885350	8191	-0.0513
TCGA-19-1390-10C-01D-0914-02	5	69274433	70693444	8	-0.6191
TCGA-19-1390-10C-01D-0914-02	5	70698794	180342860	15273	-0.0602
TCGA-19-1390-10C-01D-0914-02	5	180351118	180358977	5	-0.845
TCGA-19-1390-10C-01D-0914-02	5	180365950	180644810	50	-0.1823
TCGA-19-1390-10C-01D-0914-02	6	97634	32518768	5176	-0.0821
TCGA-19-1390-10C-01D-0914-02	6	32519935	32631315	9	-0.6606
TCGA-19-1390-10C-01D-0914-02	6	32634977	32711957	10	-0.0886
TCGA-19-1390-10C-01D-0914-02	6	32713363	32739800	9	-1.0064
TCGA-19-1390-10C-01D-0914-02	6	32745036	54035000	3723	-0.0821
TCGA-19-1390-10C-01D-0914-02	6	54037199	54042734	3	-3.9054
TCGA-19-1390-10C-01D-0914-02	6	54045472	73979482	2222	-0.0177
TCGA-19-1390-10C-01D-0914-02	6	73981678	74495098	111	-0.1774
TCGA-19-1390-10C-01D-0914-02	6	74496941	78983276	452	-0.0269
TCGA-19-1390-10C-01D-0914-02	6	79024557	79091850	8	-0.8695
TCGA-19-1390-10C-01D-0914-02	6	79101978	165640218	12383	-0.045
TCGA-19-1390-10C-01D-0914-02	6	165645537	165657596	3	-1.2914
TCGA-19-1390-10C-01D-0914-02	6	165664947	170762955	769	-0.1331
TCGA-19-1390-10C-01D-0914-02	7	140213	75895724	10267	-0.0768
TCGA-19-1390-10C-01D-0914-02	7	75898652	76421843	19	0.4211
TCGA-19-1390-10C-01D-0914-02	7	76562569	141394308	10816	-0.0463
TCGA-19-1390-10C-01D-0914-02	7	141396899	141440184	14	-0.4428
TCGA-19-1390-10C-01D-0914-02	7	141442231	141687978	49	-0.0212
TCGA-19-1390-10C-01D-0914-02	7	141705163	141714168	4	-1.87
TCGA-19-1390-10C-01D-0914-02	7	141720324	158811268	3014	-0.0948
TCGA-19-1390-10C-01D-0914-02	8	166814	25120552	3650	-0.081
TCGA-19-1390-10C-01D-0914-02	8	25124428	25129043	3	1.4411
TCGA-19-1390-10C-01D-0914-02	8	25130780	39345557	2029	-0.0802
TCGA-19-1390-10C-01D-0914-02	8	39352361	39505256	29	0.8769
TCGA-19-1390-10C-01D-0914-02	8	39511632	99089736	7237	-0.0482
TCGA-19-1390-10C-01D-0914-02	8	99093437	99189971	22	-0.3397
TCGA-19-1390-10C-01D-0914-02	8	99193115	146264846	6187	-0.0587
TCGA-19-1390-10C-01D-0914-02	9	153131	140241876	15868	-0.0802
TCGA-19-1390-10C-01D-0914-02	X	2719027	3963718	98	0.6811
TCGA-19-1390-10C-01D-0914-02	X	3972587	88592864	6247	0.8599
TCGA-19-1390-10C-01D-0914-02	X	88696173	90168286	23	0.5376
TCGA-19-1390-10C-01D-0914-02	X	90188324	90865947	26	0.8728
TCGA-19-1390-10C-01D-0914-02	X	90917565	92184315	51	0.4357
TCGA-19-1390-10C-01D-0914-02	X	92263775	154037006	4841	0.8624
TCGA-19-1390-10C-01D-0914-02	X	154050185	154078819	3	1.8831
TCGA-19-1390-10C-01D-0914-02	X	154086636	154582414	44	0.8054
TCGA-19-1390-10C-01D-0914-02	Y	2710450	3034907	52	-3.1123
TCGA-19-1390-10C-01D-0914-02	Y	3087348	6652868	86	-0.9033
TCGA-19-1390-10C-01D-0914-02	Y	6696721	10511255	365	-2.8157
TCGA-19-1390-10C-01D-0914-02	Y	10578072	12593244	21	-0.9412
TCGA-19-1390-10C-01D-0914-02	Y	12598397	12909643	24	-2.1236
TCGA-19-1390-10C-01D-0914-02	Y	12921790	12999095	9	-4.1196
TCGA-19-1390-10C-01D-0914-02	Y	13002006	13035511	11	-0.8374
TCGA-19-1390-10C-01D-0914-02	Y	13052633	18006799	429	-2.8163
TCGA-19-1390-10C-01D-0914-02	Y	18021017	19633510	41	-3.4545
TCGA-19-1390-10C-01D-0914-02	Y	19638617	19649683	3	-6.8563
TCGA-19-1390-10C-01D-0914-02	Y	19664882	21401605	143	-3.1104
TCGA-19-1390-10C-01D-0914-02	Y	21430496	21559551	11	-1.5268
TCGA-19-1390-10C-01D-0914-02	Y	21605421	22921089	94	-3.5805
TCGA-19-1390-10C-01D-0914-02	Y	22923722	57440809	33	-1.39
