barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-19-1386-10C-01D-0592-04	1	554268	12776479	1274	0.025
TCGA-19-1386-10C-01D-0592-04	1	12789063	13101056	8	-0.8156
TCGA-19-1386-10C-01D-0592-04	1	13647633	49686346	3533	0.0193
TCGA-19-1386-10C-01D-0592-04	1	49694563	49760663	7	-0.7978
TCGA-19-1386-10C-01D-0592-04	1	49771606	150819451	6069	0.0072
TCGA-19-1386-10C-01D-0592-04	1	150823073	150848509	5	1.8316
TCGA-19-1386-10C-01D-0592-04	1	150852858	247190718	8349	-0.0041
TCGA-19-1386-10C-01D-0592-04	10	115544	135356671	11035	-0.004
TCGA-19-1386-10C-01D-0592-04	11	182372	55118214	4215	0.0034
TCGA-19-1386-10C-01D-0592-04	11	55124730	55178955	9	-0.7906
TCGA-19-1386-10C-01D-0592-04	11	55187282	134432265	7211	0.0036
TCGA-19-1386-10C-01D-0592-04	12	33854	132289090	11167	0.0033
TCGA-19-1386-10C-01D-0592-04	13	18065953	114123862	7652	-0.0029
TCGA-19-1386-10C-01D-0592-04	14	18149473	19505698	42	0.4452
TCGA-19-1386-10C-01D-0592-04	14	19515781	21675987	341	-0.0374
TCGA-19-1386-10C-01D-0592-04	14	21682650	22259312	66	0.3245
TCGA-19-1386-10C-01D-0592-04	14	22280271	105118885	7614	-2e-04
TCGA-19-1386-10C-01D-0592-04	14	105128688	105246206	13	-0.5569
TCGA-19-1386-10C-01D-0592-04	14	105275857	106349756	120	0.0105
TCGA-19-1386-10C-01D-0592-04	15	18362555	18790589	12	0.0349
TCGA-19-1386-10C-01D-0592-04	15	18810004	20079935	64	0.413
TCGA-19-1386-10C-01D-0592-04	15	20220416	100282819	7932	0.0019
TCGA-19-1386-10C-01D-0592-04	16	28087	88690571	6794	0.0068
TCGA-19-1386-10C-01D-0592-04	17	29169	77503378	7506	0.0084
TCGA-19-1386-10C-01D-0592-04	17	77503673	77503685	2	-1.5182
TCGA-19-1386-10C-01D-0592-04	17	77519913	78653545	149	0.0027
TCGA-19-1386-10C-01D-0592-04	18	4316	76110964	5774	-0.0091
TCGA-19-1386-10C-01D-0592-04	19	64418	63784327	5977	0.0158
TCGA-19-1386-10C-01D-0592-04	2	20341	242501239	18498	-7e-04
TCGA-19-1386-10C-01D-0592-04	2	242505261	242717016	36	-0.6896
TCGA-19-1386-10C-01D-0592-04	20	8747	62379059	5331	0.0067
TCGA-19-1386-10C-01D-0592-04	21	9896630	9936926	4	-1.0529
TCGA-19-1386-10C-01D-0592-04	21	9963891	46914686	3358	-0.0023
TCGA-19-1386-10C-01D-0592-04	22	14504218	22686690	822	0.0165
TCGA-19-1386-10C-01D-0592-04	22	22696162	22720195	6	-2.5677
TCGA-19-1386-10C-01D-0592-04	22	22725305	49565816	3251	0.0167
TCGA-19-1386-10C-01D-0592-04	23	2710316	154582414	10938	0.0615
TCGA-19-1386-10C-01D-0592-04	24	2710450	57440809	1293	0.0437
TCGA-19-1386-10C-01D-0592-04	3	39066	163977334	12955	0.0043
TCGA-19-1386-10C-01D-0592-04	3	163987457	164112873	10	0.7748
TCGA-19-1386-10C-01D-0592-04	3	164123806	196917657	2650	8e-04
TCGA-19-1386-10C-01D-0592-04	3	196924340	196943380	5	-0.8646
TCGA-19-1386-10C-01D-0592-04	3	196945209	199379566	266	0.0048
TCGA-19-1386-10C-01D-0592-04	4	41413	190749363	13323	-0.0081
TCGA-19-1386-10C-01D-0592-04	4	190780239	190907865	10	-0.6702
TCGA-19-1386-10C-01D-0592-04	4	190924564	191173837	20	-0.0631
TCGA-19-1386-10C-01D-0592-04	5	75149	68850823	4629	-0.0198
TCGA-19-1386-10C-01D-0592-04	5	68868713	70622715	8	-1.3227
TCGA-19-1386-10C-01D-0592-04	5	70693444	180644810	8607	0.0028
TCGA-19-1386-10C-01D-0592-04	6	97634	32519935	2962	0.003
TCGA-19-1386-10C-01D-0592-04	6	32558677	32558677	1	NA
TCGA-19-1386-10C-01D-0592-04	6	32567382	32600962	4	-1.3853
TCGA-19-1386-10C-01D-0592-04	6	32605300	165640218	9825	-0.0074
TCGA-19-1386-10C-01D-0592-04	6	165645537	165650610	2	1.468
TCGA-19-1386-10C-01D-0592-04	6	165657596	170867396	471	-0.006
TCGA-19-1386-10C-01D-0592-04	7	140213	141687978	11590	-0.0019
TCGA-19-1386-10C-01D-0592-04	7	141705163	141711513	2	-2.9675
TCGA-19-1386-10C-01D-0592-04	7	141720324	142152205	50	0.1616
TCGA-19-1386-10C-01D-0592-04	7	142159154	142171618	4	-1.7006
TCGA-19-1386-10C-01D-0592-04	7	142178220	158811268	1595	-0.0152
TCGA-19-1386-10C-01D-0592-04	8	63810	146264846	10960	0.0015
TCGA-19-1386-10C-01D-0592-04	9	153131	140241876	9403	-8e-04
