barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-41-3392-10A-01D-0914-02	1	554268	12762774	2081	-0.1138
TCGA-41-3392-10A-01D-0914-02	1	12776479	12839991	5	-0.9098
TCGA-41-3392-10A-01D-0914-02	1	12840011	72533856	11008	-0.0935
TCGA-41-3392-10A-01D-0914-02	1	72550248	72574479	3	2.2106
TCGA-41-3392-10A-01D-0914-02	1	72602597	150816180	7705	-0.063
TCGA-41-3392-10A-01D-0914-02	1	150823073	150848509	4	-1.8525
TCGA-41-3392-10A-01D-0914-02	1	150857070	167483267	2981	-0.1109
TCGA-41-3392-10A-01D-0914-02	1	167493768	167507898	7	-5.3013
TCGA-41-3392-10A-01D-0914-02	1	167523140	247186514	13281	-0.0761
TCGA-41-3392-10A-01D-0914-02	10	126361	105139833	15662	-0.0794
TCGA-41-3392-10A-01D-0914-02	10	105140903	105203680	20	0.961
TCGA-41-3392-10A-01D-0914-02	10	105211963	135286023	4566	-0.0979
TCGA-41-3392-10A-01D-0914-02	11	190215	106733851	16150	-0.0782
TCGA-41-3392-10A-01D-0914-02	11	106744337	106747920	4	-5.802
TCGA-41-3392-10A-01D-0914-02	11	106758170	134432265	4542	-0.1046
TCGA-41-3392-10A-01D-0914-02	12	59839	9523923	1814	-0.1293
TCGA-41-3392-10A-01D-0914-02	12	9528590	9554149	4	-6.7093
TCGA-41-3392-10A-01D-0914-02	12	9555181	9610054	7	-0.9216
TCGA-41-3392-10A-01D-0914-02	12	9626736	31237505	3395	-0.0505
TCGA-41-3392-10A-01D-0914-02	12	31242528	31295667	9	0.5294
TCGA-41-3392-10A-01D-0914-02	12	31296973	132289090	15174	-0.077
TCGA-41-3392-10A-01D-0914-02	13	18065953	114114513	11885	-0.0574
TCGA-41-3392-10A-01D-0914-02	14	18149473	69078818	7417	-0.058
TCGA-41-3392-10A-01D-0914-02	14	69088190	69098569	3	-4.3165
TCGA-41-3392-10A-01D-0914-02	14	69106345	73060301	805	-0.1199
TCGA-41-3392-10A-01D-0914-02	14	73071404	73092018	5	-1.6929
TCGA-41-3392-10A-01D-0914-02	14	73104572	105845658	4843	-0.0988
TCGA-41-3392-10A-01D-0914-02	14	105856972	105873009	3	-1.4889
TCGA-41-3392-10A-01D-0914-02	14	105881677	106349756	58	-0.1459
TCGA-41-3392-10A-01D-0914-02	15	18362555	18454050	5	0.0755
TCGA-41-3392-10A-01D-0914-02	15	18657388	19427350	54	0.7628
