barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-16-1055-01B-01D-0520-02	1	554268	16678605	2666	-0.0065
TCGA-16-1055-01B-01D-0520-02	1	16799334	16838573	5	-0.4695
TCGA-16-1055-01B-01D-0520-02	1	16877283	25457903	1529	-0.0082
TCGA-16-1055-01B-01D-0520-02	1	25482036	25529549	4	-0.8808
TCGA-16-1055-01B-01D-0520-02	1	25538212	72533856	8890	0.0028
TCGA-16-1055-01B-01D-0520-02	1	72550248	72574479	3	-8.1936
TCGA-16-1055-01B-01D-0520-02	1	72602597	81586570	1156	-0.0153
TCGA-16-1055-01B-01D-0520-02	1	81588552	81600737	8	-0.5869
TCGA-16-1055-01B-01D-0520-02	1	81603955	81710253	54	0.0135
TCGA-16-1055-01B-01D-0520-02	1	81715817	83420365	228	-0.6044
TCGA-16-1055-01B-01D-0520-02	1	83441975	83695596	11	-0.0903
TCGA-16-1055-01B-01D-0520-02	1	83737764	101895687	2707	-0.5971
TCGA-16-1055-01B-01D-0520-02	1	101945215	102084501	22	-0.0093
TCGA-16-1055-01B-01D-0520-02	1	102089115	102121222	14	-0.6019
TCGA-16-1055-01B-01D-0520-02	1	102129099	102189788	20	-0.1154
TCGA-16-1055-01B-01D-0520-02	1	102198089	102219924	10	-0.5369
TCGA-16-1055-01B-01D-0520-02	1	102227877	103904723	139	-0.0225
TCGA-16-1055-01B-01D-0520-02	1	103906464	103965274	12	0.4102
TCGA-16-1055-01B-01D-0520-02	1	104108153	120321742	2312	0.0055
TCGA-16-1055-01B-01D-0520-02	1	120323428	143824531	108	-0.1466
TCGA-16-1055-01B-01D-0520-02	1	143826061	147203277	255	7e-04
TCGA-16-1055-01B-01D-0520-02	1	147306304	148035420	21	-0.4272
TCGA-16-1055-01B-01D-0520-02	1	148088285	167483267	3613	-0.002
TCGA-16-1055-01B-01D-0520-02	1	167493768	167523140	9	0.4074
TCGA-16-1055-01B-01D-0520-02	1	167525669	194971624	4139	0.005
TCGA-16-1055-01B-01D-0520-02	1	194977713	195062024	13	0.2668
TCGA-16-1055-01B-01D-0520-02	1	195067764	234333672	6666	0.0012
TCGA-16-1055-01B-01D-0520-02	1	234352602	235352256	213	-0.5951
TCGA-16-1055-01B-01D-0520-02	1	235353911	239865709	871	-0.008
TCGA-16-1055-01B-01D-0520-02	1	239868641	239885320	3	-0.5813
TCGA-16-1055-01B-01D-0520-02	1	239890962	240494698	119	0.0117
TCGA-16-1055-01B-01D-0520-02	1	240496626	240589826	20	-0.2994
TCGA-16-1055-01B-01D-0520-02	1	240596160	246427528	1138	2e-04
TCGA-16-1055-01B-01D-0520-02	1	246433956	246648963	32	0.1625
