barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-02-0023-01B-01G-0294-04	1	554268	2279816	229	-0.0595
TCGA-02-0023-01B-01G-0294-04	1	2296034	10935919	840	-0.5842
TCGA-02-0023-01B-01G-0294-04	1	10941525	11352107	51	-0.3476
TCGA-02-0023-01B-01G-0294-04	1	11396769	11726938	35	-0.5618
TCGA-02-0023-01B-01G-0294-04	1	11738096	11798457	6	-0.0325
TCGA-02-0023-01B-01G-0294-04	1	11808779	11919086	19	0.1952
TCGA-02-0023-01B-01G-0294-04	1	11923232	11951933	3	-0.0345
TCGA-02-0023-01B-01G-0294-04	1	11958138	13101056	99	-0.539
TCGA-02-0023-01B-01G-0294-04	1	13647633	14371178	48	-0.3449
TCGA-02-0023-01B-01G-0294-04	1	14405511	15991066	165	0.0217
TCGA-02-0023-01B-01G-0294-04	1	15995930	16002007	2	1.1301
TCGA-02-0023-01B-01G-0294-04	1	16007964	83359062	5971	-0.003
TCGA-02-0023-01B-01G-0294-04	1	83369717	83695596	14	0.3121
TCGA-02-0023-01B-01G-0294-04	1	83737764	240536783	11100	0
TCGA-02-0023-01B-01G-0294-04	1	240543872	240589480	5	-0.4066
TCGA-02-0023-01B-01G-0294-04	1	240599783	247190718	658	0.0064
TCGA-02-0023-01B-01G-0294-04	10	115544	38555662	3163	-0.6115
TCGA-02-0023-01B-01G-0294-04	10	38563575	42175348	18	-0.118
TCGA-02-0023-01B-01G-0294-04	10	42184626	45468415	248	-0.6007
TCGA-02-0023-01B-01G-0294-04	10	45478103	47735472	45	-0.3774
TCGA-02-0023-01B-01G-0294-04	10	47954413	81952099	2753	-0.6177
TCGA-02-0023-01B-01G-0294-04	10	81961869	82011626	4	0.024
TCGA-02-0023-01B-01G-0294-04	10	82017444	88011325	417	-0.62
TCGA-02-0023-01B-01G-0294-04	10	88013998	88016236	2	0.1659
TCGA-02-0023-01B-01G-0294-04	10	88020010	88685116	72	-0.5927
TCGA-02-0023-01B-01G-0294-04	10	88690277	89199763	33	-0.348
TCGA-02-0023-01B-01G-0294-04	10	89241227	128886861	3687	-0.6078
TCGA-02-0023-01B-01G-0294-04	10	128897901	130169335	103	-1.7806
TCGA-02-0023-01B-01G-0294-04	10	130205989	135356671	490	-0.5594
TCGA-02-0023-01B-01G-0294-04	11	182372	134432265	11435	0
TCGA-02-0023-01B-01G-0294-04	12	33854	132289090	11167	0.006
TCGA-02-0023-01B-01G-0294-04	13	18065953	114123862	7652	-0.0786
TCGA-02-0023-01B-01G-0294-04	14	18149473	21430511	352	0.0054
TCGA-02-0023-01B-01G-0294-04	14	21438704	22034704	74	0.2616
TCGA-02-0023-01B-01G-0294-04	14	22046097	73071404	4565	-0.0029
TCGA-02-0023-01B-01G-0294-04	14	73075500	73092018	3	0.6214
TCGA-02-0023-01B-01G-0294-04	14	73104572	98324319	2231	-0.0015
TCGA-02-0023-01B-01G-0294-04	14	98356238	98925939	40	-0.5598
TCGA-02-0023-01B-01G-0294-04	14	98936141	105314254	816	7e-04
TCGA-02-0023-01B-01G-0294-04	14	105322191	105322191	1	NA
TCGA-02-0023-01B-01G-0294-04	14	105330913	105643293	38	0.2455
TCGA-02-0023-01B-01G-0294-04	14	105654998	106349756	76	0.0407
TCGA-02-0023-01B-01G-0294-04	15	18362555	54510866	3312	-0.0135
TCGA-02-0023-01B-01G-0294-04	15	54513726	54535979	5	0.4577
TCGA-02-0023-01B-01G-0294-04	15	54541328	100282819	4691	-0.0048
TCGA-02-0023-01B-01G-0294-04	16	28087	88690571	6794	-0.0027
TCGA-02-0023-01B-01G-0294-04	17	29169	78653545	7657	-0.0033
TCGA-02-0023-01B-01G-0294-04	18	4316	76110964	5774	8e-04
TCGA-02-0023-01B-01G-0294-04	19	64418	43709558	3530	0.3556
TCGA-02-0023-01B-01G-0294-04	19	43717806	60802006	2084	0.077
