barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-14-1037-10B-01D-0592-04	1	554268	12793618	1276	0.0073
TCGA-14-1037-10B-01D-0592-04	1	12822189	13065132	5	-0.6302
TCGA-14-1037-10B-01D-0592-04	1	13101056	147357754	9236	0.004
TCGA-14-1037-10B-01D-0592-04	1	147386918	147499046	6	-1.2899
TCGA-14-1037-10B-01D-0592-04	1	147927292	148002694	6	-0.297
TCGA-14-1037-10B-01D-0592-04	1	148035420	150819451	362	0.0191
TCGA-14-1037-10B-01D-0592-04	1	150823073	150839754	3	-0.4202
TCGA-14-1037-10B-01D-0592-04	1	150844444	150848509	2	-1.2147
TCGA-14-1037-10B-01D-0592-04	1	150852858	200613454	4365	6e-04
TCGA-14-1037-10B-01D-0592-04	1	200622656	200786282	14	-0.3158
TCGA-14-1037-10B-01D-0592-04	1	200802204	247190718	3970	-0.0066
TCGA-14-1037-10B-01D-0592-04	10	115544	46408696	3440	-0.0027
TCGA-14-1037-10B-01D-0592-04	10	46414875	46545343	18	0.2743
TCGA-14-1037-10B-01D-0592-04	10	46558272	135356671	7577	-0.0042
TCGA-14-1037-10B-01D-0592-04	11	182372	182372	1	NA
TCGA-14-1037-10B-01D-0592-04	11	186966	70505018	6113	0.0026
TCGA-14-1037-10B-01D-0592-04	11	70513116	70559370	7	-0.4673
TCGA-14-1037-10B-01D-0592-04	11	70562838	134432265	5314	-0.0047
TCGA-14-1037-10B-01D-0592-04	12	33854	9452803	1015	-0.0087
TCGA-14-1037-10B-01D-0592-04	12	9528590	9585156	3	-2.6274
TCGA-14-1037-10B-01D-0592-04	12	9613074	10457163	115	-0.0165
TCGA-14-1037-10B-01D-0592-04	12	10464018	10484956	4	0.5234
TCGA-14-1037-10B-01D-0592-04	12	10493984	132289090	10030	0.0042
TCGA-14-1037-10B-01D-0592-04	13	18065953	62547642	3851	0
TCGA-14-1037-10B-01D-0592-04	13	62567538	62607565	3	-0.8339
TCGA-14-1037-10B-01D-0592-04	13	62634335	114123862	3798	-0.0032
TCGA-14-1037-10B-01D-0592-04	14	18149473	19284254	13	-0.1337
TCGA-14-1037-10B-01D-0592-04	14	19293976	19490630	27	-0.6469
TCGA-14-1037-10B-01D-0592-04	14	19497023	21705879	347	-0.0032
TCGA-14-1037-10B-01D-0592-04	14	21719593	21993784	34	0.2226
TCGA-14-1037-10B-01D-0592-04	14	22000194	69078818	4129	0.0123
TCGA-14-1037-10B-01D-0592-04	14	69088190	69092211	2	1.0721
TCGA-14-1037-10B-01D-0592-04	14	69098569	106349756	3644	-0.008
TCGA-14-1037-10B-01D-0592-04	15	18362555	18362555	1	NA
TCGA-14-1037-10B-01D-0592-04	15	18370712	18790589	11	0.174
TCGA-14-1037-10B-01D-0592-04	15	18810004	18884436	6	0.6911
TCGA-14-1037-10B-01D-0592-04	15	19109124	19537035	32	0.1375
TCGA-14-1037-10B-01D-0592-04	15	19786655	20220416	27	0.5844
TCGA-14-1037-10B-01D-0592-04	15	20249886	22021181	106	-0.0053
TCGA-14-1037-10B-01D-0592-04	15	22038880	22055553	2	-0.8142
TCGA-14-1037-10B-01D-0592-04	15	22077517	32505423	884	-0.0102
TCGA-14-1037-10B-01D-0592-04	15	32511475	32751435	20	-0.6274
TCGA-14-1037-10B-01D-0592-04	15	32796260	100282819	6919	-7e-04
TCGA-14-1037-10B-01D-0592-04	16	28087	27240165	2465	0.0077
TCGA-14-1037-10B-01D-0592-04	16	27247555	27253475	2	-0.9706
TCGA-14-1037-10B-01D-0592-04	16	27265373	31862577	509	0.0155
TCGA-14-1037-10B-01D-0592-04	16	31958973	33539023	36	0.3597
TCGA-14-1037-10B-01D-0592-04	16	33758082	34297461	19	-0.1059
TCGA-14-1037-10B-01D-0592-04	16	34339543	34605030	11	0.4036
TCGA-14-1037-10B-01D-0592-04	16	34634686	54343465	704	0.0032
TCGA-14-1037-10B-01D-0592-04	16	54354643	54379834	5	-0.592
TCGA-14-1037-10B-01D-0592-04	16	54390012	88690571	3043	-0.0039
TCGA-14-1037-10B-01D-0592-04	17	29169	36778929	3648	0.0053
TCGA-14-1037-10B-01D-0592-04	17	36782082	36791279	3	0.599
TCGA-14-1037-10B-01D-0592-04	17	36798459	41515622	598	0.0179
TCGA-14-1037-10B-01D-0592-04	17	41521544	41706870	16	-0.7016
TCGA-14-1037-10B-01D-0592-04	17	41841187	78653545	3392	0.0064
TCGA-14-1037-10B-01D-0592-04	18	4316	76110964	5774	-0.0037
TCGA-14-1037-10B-01D-0592-04	19	64418	63784327	5977	0.0137
TCGA-14-1037-10B-01D-0592-04	2	20341	242717016	18534	-0.0018
TCGA-14-1037-10B-01D-0592-04	20	8747	62379059	5331	-0.0049
TCGA-14-1037-10B-01D-0592-04	21	9896630	10144881	19	-0.3202
TCGA-14-1037-10B-01D-0592-04	21	10154777	46914686	3343	-0.0023
TCGA-14-1037-10B-01D-0592-04	22	14504218	22671374	819	0.0024
TCGA-14-1037-10B-01D-0592-04	22	22677959	22725305	10	0.7804
TCGA-14-1037-10B-01D-0592-04	22	22731196	49565816	3250	0.0026
TCGA-14-1037-10B-01D-0592-04	23	2710316	2832157	15	0.8647
TCGA-14-1037-10B-01D-0592-04	23	2836003	2850957	4	0.138
TCGA-14-1037-10B-01D-0592-04	23	2854934	89066572	6107	0.9318
TCGA-14-1037-10B-01D-0592-04	23	89081631	90003509	16	0.5059
TCGA-14-1037-10B-01D-0592-04	23	90031437	90865947	28	0.9366
TCGA-14-1037-10B-01D-0592-04	23	90917565	91300737	18	0.4036
TCGA-14-1037-10B-01D-0592-04	23	91315210	91425227	11	1.0003
TCGA-14-1037-10B-01D-0592-04	23	91445574	92289605	26	0.3278
TCGA-14-1037-10B-01D-0592-04	23	92303812	153316205	4570	0.9277
TCGA-14-1037-10B-01D-0592-04	23	153323569	153346899	7	0.3602
TCGA-14-1037-10B-01D-0592-04	23	153349651	154582414	136	0.9055
TCGA-14-1037-10B-01D-0592-04	24	2710450	3034907	55	-4.0136
TCGA-14-1037-10B-01D-0592-04	24	3087348	6652868	98	-1.0554
TCGA-14-1037-10B-01D-0592-04	24	6696721	7866716	162	-3.1291
TCGA-14-1037-10B-01D-0592-04	24	7870400	8088838	32	-4.3966
TCGA-14-1037-10B-01D-0592-04	24	8094987	10511255	155	-3.4391
TCGA-14-1037-10B-01D-0592-04	24	10537808	12401995	12	-0.2517
TCGA-14-1037-10B-01D-0592-04	24	12412724	12486140	4	-1.0511
TCGA-14-1037-10B-01D-0592-04	24	12502304	24685322	746	-3.719
TCGA-14-1037-10B-01D-0592-04	24	24754207	57440809	29	-0.9169
TCGA-14-1037-10B-01D-0592-04	3	39066	89473678	7402	-0.0046
TCGA-14-1037-10B-01D-0592-04	3	89488409	89499433	3	-0.9142
TCGA-14-1037-10B-01D-0592-04	3	89509246	163987457	5551	-0.001
TCGA-14-1037-10B-01D-0592-04	3	163997228	164101776	8	0.8895
TCGA-14-1037-10B-01D-0592-04	3	164112873	174721900	769	0.0117
TCGA-14-1037-10B-01D-0592-04	3	174736125	174761036	4	0.5426
TCGA-14-1037-10B-01D-0592-04	3	174767241	174767241	1	NA
TCGA-14-1037-10B-01D-0592-04	3	174775059	181330579	492	-1e-04
TCGA-14-1037-10B-01D-0592-04	3	181381974	181447315	2	0.9554
TCGA-14-1037-10B-01D-0592-04	3	181504851	196830270	1380	0.004
TCGA-14-1037-10B-01D-0592-04	3	196904349	196950095	10	-0.5258
TCGA-14-1037-10B-01D-0592-04	3	196958467	199329592	263	0.0084
TCGA-14-1037-10B-01D-0592-04	3	199379566	199379566	1	NA
TCGA-14-1037-10B-01D-0592-04	4	41413	191173837	13353	0.001
TCGA-14-1037-10B-01D-0592-04	5	75149	68850823	4629	-0.0075
TCGA-14-1037-10B-01D-0592-04	5	68868713	69767948	4	-0.5582
TCGA-14-1037-10B-01D-0592-04	5	70343857	140196482	5189	0.004
TCGA-14-1037-10B-01D-0592-04	5	140203440	140216524	4	0.4929
TCGA-14-1037-10B-01D-0592-04	5	140221835	176551472	2957	-0.0059
TCGA-14-1037-10B-01D-0592-04	5	176563884	176603870	5	0.3844
TCGA-14-1037-10B-01D-0592-04	5	176609838	180644810	456	-0.0031
TCGA-14-1037-10B-01D-0592-04	6	97634	29950805	2571	6e-04
TCGA-14-1037-10B-01D-0592-04	6	29962849	30004636	5	-0.4178
TCGA-14-1037-10B-01D-0592-04	6	30010234	32519935	386	-0.0124
TCGA-14-1037-10B-01D-0592-04	6	32558677	32600962	5	-0.8227
TCGA-14-1037-10B-01D-0592-04	6	32605300	78983276	3541	-0.0022
TCGA-14-1037-10B-01D-0592-04	6	79035891	79079988	3	-0.9107
TCGA-14-1037-10B-01D-0592-04	6	79101978	165640218	6281	0.0027
TCGA-14-1037-10B-01D-0592-04	6	165645537	165650610	2	1.1518
TCGA-14-1037-10B-01D-0592-04	6	165657596	170867396	471	-0.0252
TCGA-14-1037-10B-01D-0592-04	7	140213	158811268	13241	1e-04
TCGA-14-1037-10B-01D-0592-04	8	63810	39341524	3169	-0.0081
TCGA-14-1037-10B-01D-0592-04	8	39356595	39505256	20	-3.6787
TCGA-14-1037-10B-01D-0592-04	8	39511632	146264846	7771	-0.0015
TCGA-14-1037-10B-01D-0592-04	9	153131	140241876	9403	4e-04
