barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-14-2554-10A-01D-0785-04	1	554268	554287	2	-0.8915
TCGA-14-2554-10A-01D-0785-04	1	639581	72533856	6795	0.0067
TCGA-14-2554-10A-01D-0785-04	1	72550248	72568009	2	0.977
TCGA-14-2554-10A-01D-0785-04	1	72602597	150823073	4093	-4e-04
TCGA-14-2554-10A-01D-0785-04	1	150836484	150848509	4	0.6838
TCGA-14-2554-10A-01D-0785-04	1	150852858	247190718	8349	-0.0041
TCGA-14-2554-10A-01D-0785-04	10	115544	115544	1	NA
TCGA-14-2554-10A-01D-0785-04	10	126361	45534651	3433	-0.0018
TCGA-14-2554-10A-01D-0785-04	10	45554717	45554717	1	NA
TCGA-14-2554-10A-01D-0785-04	10	46371243	46568496	25	0.3898
TCGA-14-2554-10A-01D-0785-04	10	47010385	135082051	7546	0.0053
TCGA-14-2554-10A-01D-0785-04	10	135084777	135227463	21	0.4868
TCGA-14-2554-10A-01D-0785-04	10	135237794	135356671	8	0.0084
TCGA-14-2554-10A-01D-0785-04	11	182372	5738494	691	0.0092
TCGA-14-2554-10A-01D-0785-04	11	5742476	5756408	3	-0.8656
TCGA-14-2554-10A-01D-0785-04	11	5762182	18843001	1291	-0.0099
TCGA-14-2554-10A-01D-0785-04	11	18882806	18915871	4	0.5739
TCGA-14-2554-10A-01D-0785-04	11	18929375	55118214	2226	0.0044
TCGA-14-2554-10A-01D-0785-04	11	55124730	55207305	13	-0.7482
TCGA-14-2554-10A-01D-0785-04	11	55225136	134432265	7207	0.0028
TCGA-14-2554-10A-01D-0785-04	12	33854	9452803	1015	0.0027
TCGA-14-2554-10A-01D-0785-04	12	9528590	9554149	2	-4.6703
TCGA-14-2554-10A-01D-0785-04	12	9585156	132289090	10150	-0.0027
TCGA-14-2554-10A-01D-0785-04	13	18065953	114123862	7652	0.0015
TCGA-14-2554-10A-01D-0785-04	14	18149473	19330937	20	-0.0185
TCGA-14-2554-10A-01D-0785-04	14	19350230	19490630	20	-0.3824
TCGA-14-2554-10A-01D-0785-04	14	19497023	21523818	324	-0.0147
TCGA-14-2554-10A-01D-0785-04	14	21529816	22005835	59	0.2276
TCGA-14-2554-10A-01D-0785-04	14	22012263	105845658	7719	-0.0011
TCGA-14-2554-10A-01D-0785-04	14	105857193	105873009	3	-1.0311
TCGA-14-2554-10A-01D-0785-04	14	105881279	106349756	51	0.0568
TCGA-14-2554-10A-01D-0785-04	15	18362555	18790589	12	0.1049
TCGA-14-2554-10A-01D-0785-04	15	18810004	19389880	31	0.6752
TCGA-14-2554-10A-01D-0785-04	15	19397326	20079935	33	0.9765
TCGA-14-2554-10A-01D-0785-04	15	20220416	100282819	7932	3e-04
TCGA-14-2554-10A-01D-0785-04	16	28087	14876356	1504	0.0046
TCGA-14-2554-10A-01D-0785-04	16	14956177	14997360	6	-0.8248
TCGA-14-2554-10A-01D-0785-04	16	15023021	15023021	1	NA
TCGA-14-2554-10A-01D-0785-04	16	15034210	32105104	1469	-5e-04
TCGA-14-2554-10A-01D-0785-04	16	32208242	33539023	32	0.2661
TCGA-14-2554-10A-01D-0785-04	16	33758082	54343465	734	0.0027
TCGA-14-2554-10A-01D-0785-04	16	54354643	54379834	5	-0.6505
TCGA-14-2554-10A-01D-0785-04	16	54390012	88675835	3042	-0.0026
TCGA-14-2554-10A-01D-0785-04	16	88690571	88690571	1	NA
TCGA-14-2554-10A-01D-0785-04	17	29169	78653545	7657	-0.0015
TCGA-14-2554-10A-01D-0785-04	18	4316	76110964	5774	-2e-04
TCGA-14-2554-10A-01D-0785-04	19	64418	63784327	5977	-0.0056
TCGA-14-2554-10A-01D-0785-04	2	20341	242717016	18534	0.0024
TCGA-14-2554-10A-01D-0785-04	20	8747	1506379	191	0.0024
TCGA-14-2554-10A-01D-0785-04	20	1516966	1528899	2	1.0373
TCGA-14-2554-10A-01D-0785-04	20	1539155	62379059	5138	0.0071
TCGA-14-2554-10A-01D-0785-04	21	9896630	46914686	3362	0.0047
TCGA-14-2554-10A-01D-0785-04	22	14504218	22671374	819	0.0162
TCGA-14-2554-10A-01D-0785-04	22	22677959	22677959	1	NA
TCGA-14-2554-10A-01D-0785-04	22	22681995	22696162	3	-1.4209
TCGA-14-2554-10A-01D-0785-04	22	22701205	22720195	5	-4.0152
TCGA-14-2554-10A-01D-0785-04	22	22725305	49565816	3251	0.0024
TCGA-14-2554-10A-01D-0785-04	23	2710316	2832157	15	0.8631
TCGA-14-2554-10A-01D-0785-04	23	2836003	2850957	4	0.2195
TCGA-14-2554-10A-01D-0785-04	23	2854934	89216744	6111	0.9603
TCGA-14-2554-10A-01D-0785-04	23	89282896	89378045	4	0.1977
TCGA-14-2554-10A-01D-0785-04	23	89417516	90865947	36	0.9014
TCGA-14-2554-10A-01D-0785-04	23	90917565	92289605	55	0.5859
TCGA-14-2554-10A-01D-0785-04	23	92303812	154582414	4713	0.964
TCGA-14-2554-10A-01D-0785-04	24	2710450	3223585	58	-4.3653
TCGA-14-2554-10A-01D-0785-04	24	3318461	6474449	92	-1.3557
TCGA-14-2554-10A-01D-0785-04	24	6518097	10511255	352	-4.0015
TCGA-14-2554-10A-01D-0785-04	24	10537808	12486140	16	-0.8502
TCGA-14-2554-10A-01D-0785-04	24	12502304	12651786	15	-3.3871
TCGA-14-2554-10A-01D-0785-04	24	12668435	14508021	192	-4.57
TCGA-14-2554-10A-01D-0785-04	24	14524829	14598838	9	-3.4968
TCGA-14-2554-10A-01D-0785-04	24	14601165	14679579	4	-1.2718
TCGA-14-2554-10A-01D-0785-04	24	14681738	15358372	77	-4.3083
TCGA-14-2554-10A-01D-0785-04	24	15362520	15370027	3	-0.5092
TCGA-14-2554-10A-01D-0785-04	24	15376350	17147469	112	-4.0393
TCGA-14-2554-10A-01D-0785-04	24	17158449	21944720	262	-4.5226
TCGA-14-2554-10A-01D-0785-04	24	21948613	24685322	72	-3.9754
TCGA-14-2554-10A-01D-0785-04	24	24754207	57440809	29	-0.9995
TCGA-14-2554-10A-01D-0785-04	3	39066	295516	21	-0.026
TCGA-14-2554-10A-01D-0785-04	3	304070	378372	10	-0.9961
TCGA-14-2554-10A-01D-0785-04	3	394594	163987457	12925	-0.0014
TCGA-14-2554-10A-01D-0785-04	3	163997228	164101776	8	0.9678
TCGA-14-2554-10A-01D-0785-04	3	164112873	196830270	2648	-0.0011
TCGA-14-2554-10A-01D-0785-04	3	196904349	196950095	10	-0.6836
TCGA-14-2554-10A-01D-0785-04	3	196958467	199379566	264	-0.0306
TCGA-14-2554-10A-01D-0785-04	4	41413	68905670	4501	-0.0033
TCGA-14-2554-10A-01D-0785-04	4	69057735	69165814	11	0.422
TCGA-14-2554-10A-01D-0785-04	4	69643272	191173837	8841	-0.0031
TCGA-14-2554-10A-01D-0785-04	5	75149	180342860	13199	-4e-04
TCGA-14-2554-10A-01D-0785-04	5	180351118	180362342	3	-2.7749
TCGA-14-2554-10A-01D-0785-04	5	180365950	180365950	1	NA
TCGA-14-2554-10A-01D-0785-04	5	180379352	180644810	41	-0.0336
TCGA-14-2554-10A-01D-0785-04	6	97634	29950805	2571	0.002
